x,y,z,timestamp,walking_direction
0.95744324,0.09625244,7.9512634,0,30
0.8401184,0.15371704,7.8411255,10,30
0.64619446,0.29257202,7.7549286,20,30
0.4929657,0.45298767,7.8291473,30,30
0.29185486,0.6469116,7.9919586,40,30
0.2798767,0.71635437,8.039841,50,30
0.22720337,0.8528137,8.073364,60,30
-0.002639771,1.0252075,7.934494,70,30
0.01651001,1.1065979,7.8818207,80,30
0.29185486,1.2598267,7.81958,90,30
0.5504303,1.2550507,7.946472,100,30
0.8760376,1.2694092,8.274475,110,30
1.189682,1.2789917,8.681488,120,30
1.3548737,1.3292694,9.035828,130,30
1.3333282,1.336441,9.36145,140,30
1.2471313,1.367569,9.627197,150,30
1.1872864,1.3795471,9.710999,160,30
0.6820984,1.331665,9.864227,170,30
0.4235382,1.3388367,9.995911,180,30
0.35888672,1.3508148,10.11322,190,30
0.46902466,1.3268738,10.663895,200,30
0.67492676,1.1903992,11.054138,210,30
0.92152405,1.0539246,11.346237,220,30
0.9957428,0.8863373,11.442001,230,30
0.79463196,0.6804352,11.3749695,240,30
0.49057007,0.48651123,11.389328,250,30
0.2990265,0.3859558,11.664673,260,30
0.30621338,0.36439514,11.896896,270,30
0.6916809,0.35243225,12.653473,280,30
0.97180176,0.2566681,12.955139,290,30
0.97898865,0.04837036,12.885712,300,30
0.6820984,-0.21739197,12.58165,310,30
0.4139557,-0.39456177,12.232086,320,30
0.10270691,-0.56933594,11.875351,330,30
-0.24684143,-0.9188843,11.561722,340,30
-0.5461273,-1.3450623,11.382156,350,30
-0.6658325,-1.6682739,11.482712,360,30
-0.522171,-1.8406525,11.825073,370,30
-0.16543579,-1.7903748,12.196182,380,30
0.18171692,-1.613205,12.26561,390,30
0.1721344,-1.5246277,11.860992,400,30
-0.10798645,-1.5198364,11.130753,410,30
-0.57484436,-1.5102539,10.328705,420,30
-1.1087646,-1.529419,9.722961,430,30
-1.3912659,-1.39534,9.342285,440,30
-1.3386078,-1.2085876,9.260895,450,30
-1.0967865,-1.0386047,9.323135,460,30
-0.7855377,-0.8279114,9.169907,470,30
-0.47428894,-0.62680054,8.748535,480,30
-0.25402832,-0.41610718,8.157166,490,30
-0.19895935,-0.2604828,7.575363,500,30
-0.20854187,-0.2197876,7.1898956,510,30
-0.17980957,-0.23654175,7.158783,520,30
-0.18699646,-0.27485657,7.534668,530,30
-0.12713623,-0.2604828,8.149979,540,30
0.0524292,-0.17907715,8.736557,550,30
0.23199463,-0.07373047,9.04541,560,30
0.3445282,0.06512451,9.100479,570,30
0.43310547,0.2566681,8.9640045,580,30
0.3780365,0.41467285,8.626419,590,30
0.25354004,0.52960205,8.195465,600,30
0.15777588,0.62776184,7.764511,610,30
0.11946106,0.7115631,7.3910217,620,30
0.02609253,0.7498627,7.199478,630,30
-0.08404541,0.77142334,7.182724,640,30
0.01651001,0.8384552,7.3431244,650,30
0.25593567,0.90309143,7.6472015,660,30
0.40197754,0.9557648,7.9129486,670,30
0.3373413,0.9964752,8.006332,680,30
0.18171692,1.0635071,8.049423,690,30
0.07876587,1.149704,8.126038,700,30
-0.067276,1.1903992,8.166733,710,30
-0.36177063,1.2382812,8.142792,720,30
-0.6347046,1.288559,8.193069,730,30
-0.5940094,1.3963013,8.298416,740,30
-0.27796936,1.5040436,8.504318,750,30
0.10031128,1.4561615,8.882599,760,30
0.45465088,1.3986969,9.526642,770,30
0.58154297,1.2574463,10.235321,780,30
0.47621155,1.0084381,10.817123,790,30
0.3445282,0.70677185,11.329483,800,30
0.19129944,0.33805847,11.774796,810,30
0.1721344,0.0435791,12.275192,820,30
0.35409546,-0.09049988,12.885712,830,30
0.75871277,-0.004302979,13.512985,840,30
1.2040405,0.25906372,13.94873,850,30
1.4721985,0.5726929,14.039719,860,30
1.5200806,0.8480377,13.718887,870,30
1.1992493,0.9078827,13.046127,880,30
0.4857788,0.6876221,12.22731,890,30
-0.22050476,0.3356781,11.6167755,900,30
-0.44795227,-0.023452759,11.614395,910,30
